"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iattc","TWN",-147.5,-42.5,1986,27.856,9.54,628,0,0,9.54,628,0,0
"iattc","KOR",-147.5,-42.5,1987,7.99,0.55,70,0,0,0.55,70,0,0
"iattc","TWN",-147.5,-42.5,1987,34.122,7.2,474,0,0,7.2,474,0,0
"iattc","KOR",-147.5,-42.5,1989,8.845,0.48,88,0,0,0.48,88,0,0
"iattc","TWN",-147.5,-42.5,1989,319.061,69.47,5667,0,0,69.47,5667,0,0
"iattc","TWN",-147.5,-42.5,1993,30.119,4.31,396,0,0,4.31,396,0,0
"iattc","TWN",-147.5,-42.5,1996,237.784,109.53,14376,0,0,109.53,14376,0,0
"iattc","TWN",-147.5,-42.5,1997,115.907,32.38,4908,0,0,32.38,4908,0,0
"iattc","KOR",-147.5,-42.5,1999,2.56,0.94,27,0.81,23,0,0,0.13,4
"iattc","TWN",-147.5,-42.5,1999,96.212,19.54,2862,0,0,19.54,2862,0,0
"iattc","TWN",-147.5,-42.5,2000,338.43,107.89,9856,18.45,517,85.37,9190,4.07,149
"iattc","KOR",-147.5,-42.5,2001,5.04,0.22,6,0.18,4,0,0,0.04,2
"iattc","TWN",-147.5,-42.5,2002,69.254,68.54,1613,48.97,1028,1.38,126,18.19,459
"iattc","TWN",-147.5,-42.5,2004,167.426,45.83,5010,4.88,148,39.2,4815,1.75,47
"iattc","TWN",-147.5,-42.5,2005,9.216,2.02,247,0,0,2.02,247,0,0
"iattc","TWN",-147.5,-42.5,2006,48,12.15,1274,0.08,4,12.07,1270,0,0
"iattc","VUT",-147.5,-42.5,2009,28.8,9.6,1009,0,0,9.6,1009,0,0
"iattc","VUT",-147.5,-42.5,2019,3.25,0,2,0,0,0,2,0,0
"iattc","KOR",-142.5,-42.5,1981,24.395,0,747,0,0,0,747,0,0
"iattc","KOR",-142.5,-42.5,1982,8.26,0,340,0,0,0,339,0,1
"iattc","TWN",-142.5,-42.5,1984,9.676,6.36,442,0,0,6.36,442,0,0
"iattc","KOR",-142.5,-42.5,1985,8.6,0,241,0,1,0,240,0,0
"iattc","KOR",-142.5,-42.5,1986,159.518,0,2958,0,2,0,2956,0,0
"iattc","KOR",-142.5,-42.5,1989,3.29,0.19,35,0,0,0.19,35,0,0
"iattc","TWN",-142.5,-42.5,1989,45.164,2.69,270,0,0,2.69,270,0,0
"iattc","TWN",-142.5,-42.5,1993,52.56,11.47,886,0,0,11.47,886,0,0
"iattc","TWN",-142.5,-42.5,1996,91.152,66.01,7771,0,0,66.01,7771,0,0
"iattc","TWN",-142.5,-42.5,1997,21.524,8.8,1262,0,0,8.8,1262,0,0
"iattc","TWN",-142.5,-42.5,2000,108.43,18.53,2380,0,0,18.53,2380,0,0
"iattc","TWN",-142.5,-42.5,2002,61.755,51.03,1657,30.5,553,16.25,994,4.28,110
"iattc","TWN",-142.5,-42.5,2003,101.5,33.94,1896,13.63,384,11.65,1198,8.66,314
"iattc","TWN",-142.5,-42.5,2004,228.439,82.78,6187,11.8,228,58.89,5653,12.09,306
"iattc","TWN",-142.5,-42.5,2005,8.848,4.27,475,0,0,4.27,475,0,0
"iattc","TWN",-142.5,-42.5,2006,208.44,50.97,4920,0.1,5,50.87,4915,0,0
"iattc","VUT",-142.5,-42.5,2012,28.4,13.81,1767,0,0,13.81,1767,0,0
"iattc","KOR",-137.5,-42.5,1982,2.45,0,133,0,0,0,133,0,0
"iattc","KOR",-137.5,-42.5,1984,28.382,0,565,0,0,0,565,0,0
"iattc","KOR",-137.5,-42.5,1985,342,0,11177,0,2,0,11175,0,0
"iattc","KOR",-137.5,-42.5,1986,251.994,0,2458,0,1,0,2456,0,1
"iattc","TWN",-137.5,-42.5,1989,109.268,36.33,2732,0,0,36.33,2732,0,0
"iattc","TWN",-137.5,-42.5,1992,316.831,175.37,14457,0,0,175.37,14457,0,0
"iattc","TWN",-137.5,-42.5,1993,10.63,4.94,337,0,0,4.94,337,0,0
"iattc","JPN",-137.5,-42.5,1994,7.56,0,6,0,0,0,6,0,0
"iattc","TWN",-137.5,-42.5,1996,246.674,146.93,19682,0,0,146.93,19682,0,0
"iattc","TWN",-137.5,-42.5,1999,41.491,5.5,686,0,0,5.5,686,0,0
"iattc","TWN",-137.5,-42.5,2000,88.388,6.23,665,0,0,6.23,665,0,0
"iattc","TWN",-137.5,-42.5,2002,379.466,81.97,3631,13.69,373,60.66,3046,7.62,212
"iattc","TWN",-137.5,-42.5,2003,447.445,140.88,11880,34.66,1059,90.51,10237,15.71,584
"iattc","TWN",-137.5,-42.5,2004,477.161,85.42,7045,10.17,300,72.28,6645,2.97,100
"iattc","TWN",-137.5,-42.5,2005,92.988,39.67,4227,0.05,1,39.62,4226,0,0
