"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"wcpfc",176.5,-36.5,2017,10,10,325,325,0,0,0
"wcpfc",176.5,-36.5,2018,3.06,3.06,86.653,86.653,0,0,0
"wcpfc",176.5,-36.5,2020,22.66,12.19,708.186,708.186,0,0,0
"wcpfc",177.5,-36.5,1990,26,26,870.8,870.8,0,0,0
"wcpfc",177.5,-36.5,1991,37,37,1709,1709,0,0,0
"wcpfc",177.5,-36.5,1992,8,8,106,106,0,0,0
"wcpfc",177.5,-36.5,2000,12.48,12.48,442.789,442.789,0,0,0
"wcpfc",177.5,-36.5,2002,18.31,18.31,419.921,419.921,0,0,0
"wcpfc",177.5,-36.5,2005,16.03,16.03,441.387,441.387,0,0,0
"wcpfc",177.5,-36.5,2007,7.75,7.75,220.092,220.092,0,0,0
"wcpfc",177.5,-36.5,2009,21.12,21.12,497.406,497.406,0,0,0
"wcpfc",177.5,-36.5,2010,13,13,547.4,547.4,0,0,0
"wcpfc",177.5,-36.5,2012,8,8,468,468,0,0,0
"wcpfc",177.5,-36.5,2013,7,7,277,277,0,0,0
"wcpfc",177.5,-36.5,2014,21,21,563,563,0,0,0
"wcpfc",177.5,-36.5,2015,11.47,11.47,782.213,782.213,0,0,0
"wcpfc",177.5,-36.5,2016,15,15,662.8,662.8,0,0,0
"wcpfc",177.5,-36.5,2017,9,9,130,130,0,0,0
"wcpfc",177.5,-36.5,2019,20.76,20.76,673.825,673.825,0,0,0
"iccat",-52.5,-35.5,2010,0,0,5.307,5.307,0,0,0
"iccat",-51.5,-35.5,2010,0,0,6.546,6.528,0,0,0.018
"iccat",1.5,-35.5,1996,0,30,4.15,0,4.15,0,0
"iccat",19.5,-35.5,1979,0,0,64,0,0,0,64
"wcpfc",150.5,-35.5,1996,53.07,35.27,790.732,790.732,0,0,0
"wcpfc",150.5,-35.5,1997,38.47,25.75,462.9,462.9,0,0,0
"wcpfc",150.5,-35.5,1999,8,4.42,182.8,182.8,0,0,0
"wcpfc",150.5,-35.5,2000,32,18.85,331,331,0,0,0
"wcpfc",150.5,-35.5,2003,11,8.15,141,141,0,0,0
"wcpfc",151.5,-35.5,1996,22.11,14.82,216.147,216.147,0,0,0
"wcpfc",173.5,-35.5,2005,7.01,7.01,369.827,369.827,0,0,0
"wcpfc",173.5,-35.5,2006,8,8,268.8,268.8,0,0,0
"wcpfc",173.5,-35.5,2015,8.34,8.34,93.866,93.866,0,0,0
"wcpfc",174.5,-35.5,1983,40,21.5,450,450,0,0,0
"wcpfc",174.5,-35.5,1988,60.36,30.18,735.118,735.118,0,0,0
"wcpfc",174.5,-35.5,1999,7.16,7.16,156.43,156.43,0,0,0
"wcpfc",174.5,-35.5,2006,4,4,250,250,0,0,0
"wcpfc",175.5,-35.5,1983,109,58.79,1536,1534,0,0,2
"wcpfc",175.5,-35.5,1986,15,7.01,224,224,0,0,0
"wcpfc",175.5,-35.5,1987,48,24.02,791,791,0,0,0
"wcpfc",175.5,-35.5,1988,39.84,21.48,554.055,554.055,0,0,0
"wcpfc",175.5,-35.5,1989,7.06,10.59,128.011,128.011,0,0,0
"wcpfc",175.5,-35.5,1990,52.04,46.63,955.849,955.849,0,0,0
"wcpfc",175.5,-35.5,1991,31,31,1632,1632,0,0,0
"wcpfc",175.5,-35.5,1994,36.62,36.62,958.686,958.686,0,0,0
"wcpfc",175.5,-35.5,1996,8.8,8.8,158.454,158.454,0,0,0
"wcpfc",175.5,-35.5,1997,13.01,13.01,683.979,683.979,0,0,0
"wcpfc",175.5,-35.5,2000,3.12,3.12,130.03,130.03,0,0,0
"wcpfc",175.5,-35.5,2001,21.8,21.8,453.025,453.025,0,0,0
"wcpfc",175.5,-35.5,2003,10.23,10.23,240.572,240.572,0,0,0
"wcpfc",175.5,-35.5,2004,17.76,17.76,344.875,344.875,0,0,0
"wcpfc",175.5,-35.5,2005,32.07,32.07,641.032,641.032,0,0,0
"wcpfc",175.5,-35.5,2006,5,5,82,82,0,0,0
"wcpfc",175.5,-35.5,2007,49.78,49.78,2128.92,2128.92,0,0,0
"wcpfc",175.5,-35.5,2008,15,15,1228.7,1228.7,0,0,0
"wcpfc",175.5,-35.5,2009,27.15,27.15,1545.106,1545.106,0,0,0
"wcpfc",175.5,-35.5,2010,51,51,1984.7,1984.7,0,0,0
"wcpfc",175.5,-35.5,2011,18,18,622.7,622.7,0,0,0
"wcpfc",175.5,-35.5,2012,9,9,491,491,0,0,0
"wcpfc",175.5,-35.5,2013,12,12,417.2,417.2,0,0,0
"wcpfc",175.5,-35.5,2014,15,15,491,491,0,0,0
"wcpfc",175.5,-35.5,2015,32.33,32.33,1395.675,1395.675,0,0,0
"wcpfc",175.5,-35.5,2017,12,12,203.5,203.5,0,0,0
"wcpfc",175.5,-35.5,2018,20.39,20.39,868.979,868.979,0,0,0
"wcpfc",175.5,-35.5,2020,37.09,19.23,1720.499,1720.499,0,0,0
"wcpfc",176.5,-35.5,1983,11,5.5,460,460,0,0,0
"wcpfc",176.5,-35.5,1990,34,34,1044.6,1044.6,0,0,0
"wcpfc",176.5,-35.5,1991,21,21,990.5,990.5,0,0,0
"wcpfc",176.5,-35.5,1992,7,7,157,157,0,0,0
"wcpfc",176.5,-35.5,1994,15.53,15.53,479.343,479.343,0,0,0
"wcpfc",176.5,-35.5,1996,30.81,30.81,1097.079,1097.079,0,0,0
"wcpfc",176.5,-35.5,1997,17.35,17.35,847.244,847.244,0,0,0
"wcpfc",176.5,-35.5,1998,40.46,40.46,1910.967,1910.967,0,0,0
"wcpfc",176.5,-35.5,1999,12.27,12.27,832.25,832.25,0,0,0
"wcpfc",176.5,-35.5,2000,15.59,15.59,1355.391,1355.391,0,0,0
"wcpfc",176.5,-35.5,2001,8.72,8.72,238.721,238.721,0,0,0
"wcpfc",176.5,-35.5,2002,40.87,40.87,1063.752,1063.752,0,0,0
"wcpfc",176.5,-35.5,2003,37.88,37.88,971.706,971.706,0,0,0
